2013-03-10 00:07:14,907 INFO  [ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@74b23210: display name [org.springframework.context.support.ClassPathXmlApplicationContext@74b23210]; startup date [Sun Mar 10 00:07:14 CST 2013]; root of context hierarchy
2013-03-10 00:07:14,952 INFO  [XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [applicationContext.xml]
2013-03-10 00:07:15,095 INFO  [ClassPathXmlApplicationContext] Bean factory for application context [org.springframework.context.support.ClassPathXmlApplicationContext@74b23210]: org.springframework.beans.factory.support.DefaultListableBeanFactory@63deeb40
2013-03-10 00:07:15,134 INFO  [PropertyPlaceholderConfigurer] Loading properties file from class path resource [jdbc.properties]
2013-03-10 00:07:15,149 INFO  [DefaultListableBeanFactory] Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@63deeb40: defining beans [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,dataSource,txManager,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,TerminalInfoDao]; root of factory hierarchy
2013-03-10 00:07:15,200 INFO  [default] [------------------------网关初始化......------------------------]
2013-03-10 00:07:15,204 INFO  [default] [##########Listener Vg启动......##########]
2013-03-10 00:07:15,275 INFO  [default] [##########Listener Vg已启动##########]
2013-03-10 00:07:15,275 INFO  [default] [##########Listener Vg3启动......##########]
2013-03-10 00:07:15,276 INFO  [default] [##########Listener Vg3已启动##########]
2013-03-10 00:07:15,499 INFO  [default] [------------------------网关已启动------------------------]
2013-03-10 00:15:04,986 INFO  [ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@5557c2bd: display name [org.springframework.context.support.ClassPathXmlApplicationContext@5557c2bd]; startup date [Sun Mar 10 00:15:04 CST 2013]; root of context hierarchy
2013-03-10 00:15:05,032 INFO  [XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [applicationContext.xml]
2013-03-10 00:15:05,169 INFO  [ClassPathXmlApplicationContext] Bean factory for application context [org.springframework.context.support.ClassPathXmlApplicationContext@5557c2bd]: org.springframework.beans.factory.support.DefaultListableBeanFactory@72c743eb
2013-03-10 00:15:05,211 INFO  [PropertyPlaceholderConfigurer] Loading properties file from class path resource [jdbc.properties]
2013-03-10 00:15:05,227 INFO  [DefaultListableBeanFactory] Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@72c743eb: defining beans [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,dataSource,txManager,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,TerminalInfoDao]; root of factory hierarchy
2013-03-10 00:15:05,284 INFO  [default] [------------------------网关初始化......------------------------]
2013-03-10 00:15:05,287 INFO  [default] [##########Listener Vg启动......##########]
2013-03-10 00:15:05,358 INFO  [default] [##########Listener Vg已启动##########]
2013-03-10 00:15:05,359 INFO  [default] [##########Listener Vg3启动......##########]
2013-03-10 00:15:05,360 INFO  [default] [##########Listener Vg3已启动##########]
2013-03-10 00:15:05,581 INFO  [default] [------------------------网关已启动------------------------]
2013-03-10 00:22:06,153 INFO  [ClassPathXmlApplicationContext] Refreshing org.springframework.context.support.ClassPathXmlApplicationContext@74b23210: display name [org.springframework.context.support.ClassPathXmlApplicationContext@74b23210]; startup date [Sun Mar 10 00:22:06 CST 2013]; root of context hierarchy
2013-03-10 00:22:06,202 INFO  [XmlBeanDefinitionReader] Loading XML bean definitions from class path resource [applicationContext.xml]
2013-03-10 00:22:06,339 INFO  [ClassPathXmlApplicationContext] Bean factory for application context [org.springframework.context.support.ClassPathXmlApplicationContext@74b23210]: org.springframework.beans.factory.support.DefaultListableBeanFactory@388530b8
2013-03-10 00:22:06,380 INFO  [PropertyPlaceholderConfigurer] Loading properties file from class path resource [jdbc.properties]
2013-03-10 00:22:06,398 INFO  [DefaultListableBeanFactory] Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@388530b8: defining beans [org.springframework.beans.factory.config.PropertyPlaceholderConfigurer#0,dataSource,txManager,org.springframework.aop.config.internalAutoProxyCreator,org.springframework.transaction.annotation.AnnotationTransactionAttributeSource#0,org.springframework.transaction.interceptor.TransactionInterceptor#0,org.springframework.transaction.config.internalTransactionAdvisor,TerminalInfoDao]; root of factory hierarchy
2013-03-10 00:22:06,451 INFO  [default] [------------------------网关初始化......------------------------]
2013-03-10 00:22:06,454 INFO  [default] [##########Listener Vg启动......##########]
2013-03-10 00:22:06,531 INFO  [default] [##########Listener Vg已启动##########]
2013-03-10 00:22:06,531 INFO  [default] [##########Listener Vg3启动......##########]
2013-03-10 00:22:06,532 INFO  [default] [##########Listener Vg3已启动##########]
2013-03-10 00:22:07,222 INFO  [default] [------------------------网关已启动------------------------]
